propertyCode,price,propertyType,size,rooms,bathrooms,latitude,longitude,description,status,priceByArea,parking,codigo_distrito,poblacion / distrito,precio_area / distrito,codigo_tipo,piscina,muebles
101934757,590.0,flat,66.0,2,1,37.2846347,-5.9256789,"Hola soy Maite, ALQUILAMOS apartamento céntrico, junto a la calle rosario, Plaza del Arenal lo que facilita la comunicación con Sevilla. Entrada con armario empotrado, salon cocina amplio muy luminoso y da a la calle Lope de vega, la cocina se queda amueblada con electrodomésticos con placa vitrocerámica, lavadora, campana. Dos dormitorios, principal amplio se queda amueblado con somier, armario, cómoda y mesitas y otro dormitorio con somier de 90 y armario. La vivienda es ideal para personas mayores que quieran vivir en el centro ya que es un bajo alto con entrada al edifico con rampa de acceso para sillas de rueda. llámame y te informo gracias. TRASTERO DE SIETE METROS. NO SE ACEPTAN MASCOTAS.",good,9.0,0,25,Dos Hermanas / El Arenal - La Pólvora,8.2,2,0,2
103193364,800.0,flat,85.0,3,1,37.38813,-5.963097,"Espléndido piso de 85 m² situado en Nervión. Junto a Avenida Cruz del Campo y Calle Andrés Bernáldez. Consta de tres dormitorios (cama de matrimonio en habitación principal), salón comedor, cocina independiente amueblada equipada con electrodomésticos (incluye lavavajillas, horno), un cuarto de baño completo con placa ducha, patio y terraza. Totalmente amueblado, exterior, zona tranquila, muy luminoso, aire acondicionado – calefacción, armarios empotrados, gas butano, ascensor. Zona comercial próxima (El Corte Inglés, centro comercial Nervión Plaza, centro comercial Los Arcos). Buenas comunicaciones de transportes urbanos ( carril bici, líneas de autobuses). Contrato temporal de 11 meses. Requisitos contrato de trabajo en vigor o documento similar, un mes de fianza y una mensualidad de honorarios a la inmobiliaria.",good,9.0,0,70,Sevilla / Nervión,13.694444444444445,2,0,2
103192622,650.0,flat,41.0,1,1,37.3965322,-5.9765523,"¡No pierdas la oportunidad de vivir en este acogedor piso en una de las mejores barriadas de Sevilla! Con una superficie de 41 m2, este inmueble cuenta con 1 habitación, cocina, baño y salón, además de una maravillosa terraza para disfrutar del buen clima de la ciudad.  El piso se encuentra amueblado y cuenta con aire acondicionado en el salón y la habitación, para que puedas disfrutar de un ambiente agradable en cualquier época del año. Además, está ubicado muy próximo al centro de Sevilla, lo que te permitirá disfrutar de todas las comodidades de la ciudad sin tener que desplazarte demasiado.  En los alrededores del piso encontrarás varios supermercados, colegios y farmacias, lo que te permitirá tener todo lo que necesitas al alcance de la mano. Además, la estación de tren de Santa Justa está muy cerca, lo que te permitirá desplazarte fácilmente a cualquier punto de la ciudad o incluso de la provincia.  No lo pienses más y ven a visitar este maravilloso piso sin compromiso. ¡Te encantará! Cabe destacar que se trata de un bajo sin ascensor y que los gastos de luz y agua corren a cargo del inquilino.",good,16.0,0,48,Sevilla / Santa Justa - Miraflores - Cruz Roja,9.947368421052632,2,0,2
99228868,650.0,flat,40.0,1,1,37.3774768,-5.9619661,"Estupendo apartamento totalmente reformado y amueblado. Consta de un dormitorio con cama de matrimonio, baño, salón y cocina. Ventanas de climalit, aire acondicionado en el salón. Iluminación de led en todo el piso, cocina completamente reformada, amueblada y equipada. Todo es exterior y muy luminoso y silencioso. Su ubicación es perfecta, cerca centro comerciales, supermercados, cercanías, metro y excelente conexión por transporte público con cualquier punto de Sevilla. Incluida la comunidad y agua. Luz aparte.  Requisitos: - 2 meses de fianza - Antigüedad laboral ininterrumpida superior a un año. - No aparecer en ningún fichero de morosidad. Visitar sin compromiso.",good,16.0,0,70,Sevilla / Nervión,13.694444444444445,2,0,2
103188131,1000.0,chalet,256.0,3,3,37.3491632,-5.9357995,"Casa de alquiler en Condequinto, de dos plantas mas buhardilla. En planta baja nos encontramos con cocina totalmente reformada y muy luminosa, a la izquierda nos encontramos con un aseo con ventilación, seguidamente de un salón- comedor muy amplio y a continuación un patio de 40m2 aprox con un bonito limonero.  En la segunda planta nos encontramos con 3 habitaciones, una de ellas con salida a un balcón-terraza, y otra con baño en suite con bañera y otro baño en el pasillo con placa de ducha. Al subir otras escaleras nos encontramos con una amplia buhardilla, donde, actualmente se usa como trastero.  Tiene garaje con capacidad de dos coches.",good,4.0,0,17,Montequinto / Condequinto,7.666666666666667,7,0,1
103187850,1550.0,flat,70.0,3,1,37.3967526,-5.9860197,"Hogalia ofrece ref 14723. Piso para estudiantes en zona centro-san luis, compuesto por tres dormitorios con camas dobles, un baño completo, salón, cocina equipada con electrodomésticos, cocina amueblada, patio interior. Carpintería exterior en aluminio e interior de madera, suelos de mármol. Finca en pplanta baja. Curso escolar 2023/2024. Estudiantes/trabajadores. Comunidad y wifi incluidos en la renta mensual. Disponible a partir del 1 de febrero. Especialistas en venta y alquiler de viviendas soluciones a su medida encuentra más en.",good,22.0,0,69,Sevilla / Centro,13.583710407239819,2,0,1
103187283,650.0,flat,80.0,3,1,37.2956488,-6.0471951,"Estupendo piso a estrenar en Coria del Río. Se alquila semi-amueblado. Con 80 mts. construidos (70 útiles).  Tiene 3 dormitorios y 1 baños. Amplio salón. Amplia cocina perfectamente amueblada y equipada.  Suelo de mármol, aire acondicionado en el salón y acabados de primera calidad. Garaje y trastero. Azotea comunitaria. Zona consolidada, equipada con comercios, restaurantes, parada de bus en la misma puerta, centro de salud, colegios, etc. y muy fácil acceso a Sevilla por autovía (10 min. ) La comunidad está incluida en la mensualidad. No se admiten mascotas.",good,8.0,1,28,Coria del Río / Coria del Río,8.5,2,0,2
103187622,1290.0,flat,80.0,2,1,37.3905649,-5.9939367,"Centro Alfalfa, junto Ayuntamiento. Coqueto y precioso piso amueblado de 2 habitaciones en el casco antiguo de la ciudad se alquila. Amueblado con mucho gusto y elegancia. LA PROPIEDAD REQUIERE PERSONA SOLA, PAREJAS O PARA COMPARTIR TRABAJADORES PARA UN CONTRATO DE TEMPORADA DE 10-11 MESES. Salón comedor con ventanales y cocina independiente equipada y amueblada con electrodomésticos ( vitro de 2 fuegos, lavadora, lavavajillas, horno, microondas, campana extractora, . ). 1 Baño. 2 Dormitorios con sus armarios empotrados. Aire acondicionado de split con bomba frio calor. Ascensor. Suelos porcelánicos. Estupenda zona e ubicación, cerca de todo tipo de servicios alrededor y tranvía, además de estar rodeada de tiendas, comercios y bares en pleno centro de la ciudad. NO ADMITE MASCOTAS. Mejor verlo. REFERENCIA 8258. Renta 1., 290 euros mes comunidad incluida. Interesados llamar a ALQUICASA.",good,16.0,0,69,Sevilla / Centro,13.583710407239819,2,0,2
103187403,1100.0,flat,75.0,2,1,37.3817739,-5.9771604,"Inmobiliaria Podium le ofrece EN EXCLUSIVA esta magnífica vivienda REFORMADA en una de las zonas más demandadas y reconocidas de Sevilla, Viapol. La vivienda pertenece a una urbanización privada con zonas comunes, entre ellas, piscina, zonas verdes y ajardinadas.. . PORTERIA 24H El inmueble consta de 75m2 aprox. , distribuidos en un amplio y luminoso salón, dos dormitorios, un cuarto de baño completo y cocina independiente.  La vivienda pertenece a una urbanización privada con zonas comunes, entre ellas, piscina, zonas verdes y ajardinadas.. . PORTERIA 24H Gracias a su inmejorable ubicación, el piso está rodeado de todo tipo de servicios y prestaciones tales como: supermercados como Día o MAS, colegios como Portaceli, Buen Pastor o Instituto Murillo a escasos minutos andando del inmueble, entidades bancarias como BBVA, Bankinter, Caixa, etc. posee una gran oferta gastronómica y de ocio, ya que está a tan solo 15 minutos andando de los centros comerciales Nervión Plaza y EL Corte Inglés. El piso dispone de muy buena comunicación, pues se encuentra junto al Apeadero de Sn Bernardo (metro, Renfe, tranvía, paradas de autobuses, etc. ). ¡No deje escapar esta oportunidad, llámenos y organizamos una visita!",good,15.0,1,70,Sevilla / Nervión,13.694444444444445,2,1,1
103177747,890.0,chalet,70.0,2,1,37.4037621,-5.9853439,"Gilmar les presenta esta bonita casa totalmente reformada por la Macarena de 70 m2 repartido en una planta mas buhardilla. Tiene una fantástica terraza de 20 metros, mesa con dos sillones, sofá y toldos. Dispone de salón-cocina de 26 metros con isla con cuatro taburetes, todos los electrodomésticos, nevera, congelador, lavavajillas, lavadora, horno, microondas, vitro y campana, muy bonito, El salón tiene un cheslón de tres plazas, mesita auxiliar, mesa TV, TV y estantería. Cuenta con un dormitorio en la planta de abajo que lo tienen como vestidor y mesa de estudio, unos 7 metros y un baño completo con placa de ducha. Subiendo las escaleras llegamos a la habitación principal con cama grande, hay split en el salón y en el dormitorio principal. Es una casa ideal para vivir, muy cerca de la Ronda y del Hospital Macarena, bien comunicada con líneas de autobuses y carril bici. Rodeado de comercios, supermercados, bancos, pastelerías, farmacias y parques. Ideal para residentes, o personal sanitario del Hospital Macarena No se admiten mascotas Duración mínima de contrato un año. El propietario solicita un mes de fianza. No dude en llamar para visitar CARACTERÍSTICAS: Carpintería interior: madera lacada Carpintería exterior: pvc Calefacción: a/a frio - calor Aire acondicionado.",good,13.0,0,57,Sevilla / Macarena,10.954545454545455,6,0,1
