size,codigo_distrito,parking,codigo_tipo,piscina,total_rooms,price
66.0,25,0,2,0,3,590.0
85.0,70,0,2,0,4,800.0
41.0,48,0,2,0,2,650.0
40.0,70,0,2,0,2,650.0
256.0,17,0,7,0,6,1000.0
70.0,69,0,2,0,4,1550.0
80.0,28,1,2,0,4,650.0
80.0,69,0,2,0,3,1290.0
75.0,70,1,2,1,3,1100.0
70.0,57,0,6,0,3,890.0
80.0,25,1,2,0,4,750.0
55.0,55,1,2,1,2,750.0
130.0,29,1,3,1,6,1150.0
75.0,57,0,2,0,4,710.0
49.0,55,1,2,1,2,600.0
58.0,18,0,2,0,2,420.0
66.0,66,0,2,0,2,750.0
86.0,69,0,2,0,3,1350.0
63.0,69,0,2,0,2,900.0
75.0,60,0,2,0,4,850.0
85.0,13,0,2,0,3,600.0
90.0,60,0,2,0,3,1200.0
123.0,55,1,2,0,4,750.0
76.0,69,0,2,0,3,800.0
80.0,69,0,2,0,4,1350.0
70.0,36,0,2,0,3,550.0
81.0,57,0,2,0,5,900.0
70.0,60,0,2,0,4,850.0
60.0,50,0,2,0,4,550.0
69.0,66,0,2,0,3,880.0
126.0,47,1,2,1,5,800.0
140.0,3,1,7,0,4,650.0
75.0,70,0,2,0,5,900.0
88.0,38,0,2,0,4,610.0
122.0,62,1,2,0,5,1290.0
77.0,70,0,2,0,2,740.0
130.0,69,0,2,0,5,1200.0
125.0,10,0,7,0,5,850.0
154.0,70,1,2,1,6,2100.0
130.0,69,0,2,0,6,1250.0
84.0,56,1,2,0,3,750.0
90.0,27,0,2,0,6,680.0
75.0,70,0,2,0,3,875.0
83.0,56,0,2,0,4,620.0
75.0,69,0,2,0,5,1000.0
110.0,50,1,2,1,4,1000.0
81.0,57,0,2,0,5,900.0
80.0,16,0,2,0,3,650.0
65.0,62,0,2,0,3,795.0
69.0,38,1,2,0,3,690.0
75.0,65,1,2,0,3,750.0
60.0,69,0,5,0,3,800.0
39.0,69,0,1,0,1,600.0
60.0,44,0,2,1,3,725.0
95.0,66,0,2,0,5,900.0
115.0,60,1,2,0,5,1180.0
77.0,66,1,2,0,5,950.0
100.0,69,0,2,0,5,1500.0
80.0,62,1,2,0,4,795.0
106.0,65,0,2,0,4,1200.0
70.0,44,1,2,0,3,750.0
121.0,66,0,2,0,6,1000.0
90.0,36,1,2,1,5,780.0
135.0,57,1,2,0,6,1300.0
77.0,18,1,2,0,5,650.0
56.0,22,0,2,0,4,550.0
54.0,65,0,2,0,2,800.0
90.0,38,0,2,0,4,800.0
60.0,62,1,2,1,4,900.0
95.0,38,0,5,0,6,900.0
90.0,53,1,2,1,5,800.0
110.0,69,0,5,0,4,1350.0
46.0,70,0,2,0,2,650.0
80.0,55,1,2,0,4,750.0
59.0,70,0,2,0,4,1050.0
50.0,39,0,2,0,2,465.0
55.0,70,1,2,1,2,950.0
162.0,25,1,3,0,4,750.0
80.0,46,1,2,1,2,750.0
75.0,35,0,7,0,3,650.0
72.0,23,0,2,0,3,650.0
75.0,38,0,2,0,4,700.0
60.0,27,1,2,0,2,590.0
60.0,26,0,2,0,3,650.0
57.0,57,0,2,0,4,730.0
65.0,30,0,2,0,2,490.0
65.0,30,0,2,0,2,490.0
65.0,30,0,2,0,2,490.0
