codigo_distrito,municipality,district,mean,poblacion / distrito
1,Salteras,Salteras,4.0,Salteras / Salteras
2,Mairena del Aljarafe,Cavaleri,5.5,Mairena del Aljarafe / Cavaleri
3,Alcalá de Guadaira,Oromana,5.666666666666667,Alcalá de Guadaira / Oromana
4,Santiponce,Santiponce,6.0,Santiponce / Santiponce
5,Utrera,Pedanías Norte,6.0,Utrera / Pedanías Norte
6,Utrera,Utrera,6.217391304347826,Utrera / Utrera
7,Bormujos,El Zaudín - Club de Golf,6.25,Bormujos / El Zaudín - Club de Golf
8,San Jose de la Rinconada,San Jose de la Rinconada,6.5,San Jose de la Rinconada / San Jose de la Rinconada
9,Almensilla,Almensilla,6.5,Almensilla / Almensilla
10,La Rinconada,La Rinconada,6.5,La Rinconada / La Rinconada
11,Umbrete,Umbrete,7.0,Umbrete / Umbrete
12,Bormujos,Centro,7.0,Bormujos / Centro
13,Alcalá de Guadaira,Los Molinos,7.0,Alcalá de Guadaira / Los Molinos
14,Gines,Gines,7.2,Gines / Gines
15,Bollullos de la Mitacion,Bollullos de la Mitacion,7.2,Bollullos de la Mitacion / Bollullos de la Mitacion
16,Sevilla,San Jerónimo,7.5,Sevilla / San Jerónimo
17,Montequinto,Condequinto,7.666666666666667,Montequinto / Condequinto
18,Alcalá de Guadaira,Centro,7.6923076923076925,Alcalá de Guadaira / Centro
19,Bormujos,Zona Universitaria,7.75,Bormujos / Zona Universitaria
20,San Juan de Aznalfarache,Barrio Bajo,8.0,San Juan de Aznalfarache / Barrio Bajo
21,Valencina de la Concepcion,Valencina de la Concepcion,8.0,Valencina de la Concepcion / Valencina de la Concepcion
22,Mairena del Aljarafe,Lepanto,8.0,Mairena del Aljarafe / Lepanto
23,Tomares,Santa Eufemia,8.0,Tomares / Santa Eufemia
24,Sevilla,Parque Alcosa,8.0,Sevilla / Parque Alcosa
25,Dos Hermanas,El Arenal - La Pólvora,8.2,Dos Hermanas / El Arenal - La Pólvora
26,Alcalá de Guadaira,Nueva Alcalá,8.333333333333334,Alcalá de Guadaira / Nueva Alcalá
27,Castilleja de la Cuesta,Castilleja de la Cuesta,8.4,Castilleja de la Cuesta / Castilleja de la Cuesta
28,Coria del Río,Coria del Río,8.5,Coria del Río / Coria del Río
29,Tomares,Aljamar,8.666666666666666,Tomares / Aljamar
30,Dos Hermanas,Centro - Doña Mercedes,8.727272727272727,Dos Hermanas / Centro - Doña Mercedes
31,Espartinas,Espartinas Pueblo,8.8,Espartinas / Espartinas Pueblo
