propertyCode,price,propertyType,size,rooms,bathrooms,latitude,longitude,description,status,priceByArea,topPlus,parking,poblacion / distrito,precio_area / distrito,codigo_distrito,codigo_tipo,piscina
101359217,1195000.0,chalet,513.0,7,4,37.3655115,-6.0623224,"NO COBRAMOS COMISIÓN AL COMPRADOR  ESPECIALISTAS EN COLABORACIONES INTERNACIONALES GILMAR le ofrece en EXCLUSIVA, una excepcional vivienda con piscina en la prestigiosa urbanización Club de Golf Zaudín, en Bormujos, una magnífica ubicación, en la que podrá disfrutar de todos los servicios y seguridad 24h. La vivienda consta de 513 m2 construidos, en una parcela de 505 m2 repartidos en 3 plantas y un gran sótano excepcional con capacidad para 6 vehículos.  La actual distribución de la vivienda es la que describimos, siendo posible aumentar el número de habitaciones de las 2 actuales a 7 según se desee. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontraras 4.000 oportunidades más.",good,2329.0,False,1,Bormujos / El Zaudín - Club de Golf,2569.5,7,7,1
100858100,350000.0,flat,94.0,3,2,37.3745071,-6.0003523,"CARACTERÍSTICAS DEL INMUEBLE: Vivienda de 94 m² construidos RECIEN REFORMADA con las MEJORES calidades (si el cliente lo requiere, se puede aportar dosier completo de toda la reforma que han realizado en el mismo); Suelos de parquet, puertas de madera lacadas en blanco, ventanas climalit oscilobatientes de última generación y amplios armarios empotrados revestidos. Además, cuenta con 5 Splits de Aire Acondicionado (en todas las estancias). Vivienda situada en la calle Madre Ráfols. 2ª planta con ascensor.  El inmueble se distribuye de la siguiente manera; recibidor, 3 dormitorios amplios [uno de ellos con balcón], 2 baños completos [ambos con placa de ducha y uno de ellos en suite], cocina totalmente equipada con electrodomésticos nuevos de alta gama, y salón/comedor. La vivienda se entrega amueblada con muebles de diseño.  Si estás buscando un hogar acogedor, bien ubicado y luminoso, así como despreocuparte de reformar y amueblar tu nueva vivienda. No dudes en llamarnos, este es el inmueble que estás buscando.  UBICACIÓN: Disponible en el entorno todo tipo de servicios. A unos minutos a pie de las paradas de metro de Plaza de cuba, Parque de los Príncipes y Blas infante, y ubicado junto a varias líneas de autobuses, tales como: 06, 41, C2, A7 y C1. Los accesos viales más cercanos son: se-30, e-803 y a-49. OTROS: El precio de la vivienda NO comprende los gastos de compraventa, ni los honorarios de intermediación inmobiliaria, que satisface el comprador y ascienden al 3% más IVA sobre el precio final de venta, (con un mínimo de 4.840€ IVA incluido). D. I. A (Documento Informativo Abreviado) a disposición del consumidor. Para visita virtual 360, visítenos en nuestra web WWW. REDPISO. ES.  Si busca un inmueble de características similares, puede pasar por nuestra oficina en c/Asunción nº11 o llamarnos al Visítenos sin compromiso. Gracias. Inmobiliaria Redpiso. Tu hogar, es nuestro compromiso.",good,3723.0,False,0,Sevilla / Los Remedios,3157.3225806451615,60,2,0
103288001,180000.0,flat,69.0,3,1,37.3539107,-5.9740552,"Proxxima Inmobiliaria presenta este encantador piso en venta, totalmente reformado y en perfecto estado para entrar vivir con 3 habitaciones. El cuarto de baño cuenta con una moderna placa de ducha, y la cocina está completamente amueblada, incluyendo un lavadero para mayor comodidad. El luminoso salón ofrece hermosas vistas, destacando la iluminación en todas las habitaciones, especialmente en el salón. Además, el piso incluye una plaza de garaje en el parking en superficie y un trastero en la planta cero. "" Se encuentra ubicado en una zona tranquila muy bien conectada con el resto de la ciudad por transporte público y en los alrededores podemos encontrar toda clase de servicios necesarios. Buena conexión a la SE -30.",good,2609.0,False,1,Sevilla / La Palmera - Los Bermejales,2705.1481481481483,62,2,0
103287990,119990.0,flat,110.0,3,1,37.3528863,-6.0375414,"Piso en Barriada Alero de Sevilla de 110 m2, 3 dormitorios, baño, amplio salón con terraza, parque infantil, zonas comunes y plaza de garaje.",good,1091.0,False,1,Mairena del Aljarafe / Simon Verde,1895.75,59,2,0
103281276,440000.0,flat,139.0,5,2,37.384633,-5.9789757,"Quieres vivir cerca del centro de Sevilla o simplemente en un lugar ideal de la ciudad de Sevilla? AlmanRod gestión inmobiliaria les presenta este amplio y luminoso piso ubicado en Nervión -Buhaira.  Te mostramos una posible idea de reforma. Esto te ayudará a imaginarte tu hogar ya reformado.  Un inmueble ideal para los que buscan un hogar cerca de la ciudad.  El inmueble se encuentra en un portal muy cuidado, lo que causa una buena primera impresión.   Esta vivienda cuenta con una superficie de 139m2 distribuidos en cinco amplios dormitorios, un amplio y acogedor salón comedor, dos cuarto de baños y uno de ellos con bañera, la vivienda cuenta con un amplio recibidor y gran cocina.  Destacar de esta vivienda su ubicación, ya que se encuentra en un lugar ideal.  La vivienda tiene servicios de primera necesidad muy cercanos, tales como: Centro comercial, Colegios, farmacias, supermercados, parada de autobús y parada de metro a 3 minutos de la vivienda.  Para más información, llámanos y ven a visitarla!    Informamos a nuestros clientes que no están incluidos en el precio los honorarios de intermediación. Ni gastos derivados de la compra venta de este inmueble tales como: El Impuesto de Transmisiones Patrimoniales, registros, notaría, gestoría y de posible financiación.",renew,3165.0,False,0,Sevilla / Nervión,2977.234693877551,70,2,0
103287847,445000.0,chalet,177.0,3,2,37.3263432,-5.9207388,"N O V E D A D  A la venta este fantástico chalet de 1 planta situado en una de las zonas más tranquilas e íntimas de Montequinto. La vivienda está reformada completamente, es muy luminosa y cuenta con hall recibidor, cocina abierta al salón, 3 dormitorios y 2 baños completos. Cuenta también con garaje y trastero, además de una bonita piscina en forma de L. (faltan más fotos, las cuales pondremos en estos días). Si lo que buscas es paz y independencia, esta es la vivienda que necesitas. No dudes en venir a visitarla ¡TE VA A GUSTAR! *Honorarios y gastos de intermediación NO INCLUIDOS EN EL PRECIO*.",good,2514.0,False,1,Montequinto / Olivar de Quintos,2451.8333333333335,52,7,1
97781495,260000.0,chalet,200.0,4,3,37.2889739,-5.9405578,"! OPORTUNIDAD! Preguntar por Juan Antonio. Fantástico Chalet Pareado en el Residencial del Marquesado en Dos Hermanas. La vivienda esta situada en urbanización privada y excelente vecindario en una de las mejores zonas de Dos hermanas, tiene ubicación privilegiada con salida rápida Sevilla-Cadiz o SE-40, colegios, bancos, centros comerciales, farmacia, zonas deportivas, parques, cafeterías, restaurantes y zona infantiles. El inmueble cuenta con plaza aparcamiento dentro de la zona residencial, gran patio delantero, el trasero con lavadero y trastero. Cocina equipada con electrodomésticos e instalación de gas natural, habitación en planta baja conectada al patio trasero, extenso salón comedor luminoso y cuarto de baño completo, aires acondicionados centralizado tanto en la planta baja y alta con mucha luz natural ubicación sureste. La primera planta cuenta con tres habitaciones y dos baños uno de ellos en habitación de matrimonio tipo suite con balcón y armarios empotrados, aires acondicionados centralizados en planta baja y alta. Ademas encontramos un castillete en ultima planta con habitación y azotea transitable de unos treinta metros cuadrados. Disponemos de servicio financiero, para ofrecerle asesoramiento gratuito y sin compromiso. Solicite información sin compromiso estaremos encantados de atenderles. En el precio no están incluidos impuestos y honorarios.",good,1300.0,False,1,Dos Hermanas / El Arenal - La Pólvora,1427.888888888889,25,6,0
103287712,280000.0,chalet,179.0,4,4,37.4117604,-6.0774967,"Casa unifamiliar distribuida en 3 plantas que dispone de 4 dormitorios, 1 estudio, 3 baños y 1 aseo. Cuenta con jardín y piscina, y 2 trasteros. Situada en zona céntrica, cerca de servicios y comercios. Infórmate hoy mismo. Del 25/11/2023 al 09/12/2023 este es un producto incluido en ""WOW! Ventas especiales"". El precio indicado es precio de salida. Descúbrelo e infórmate en\nInmueble en comercialización mediante el sistema de subasta al mejor postor. Estos inmuebles admiten pujas hasta la finalización del plazo indicado al efecto en cada una de las fichas de los inmuebles publicados en nuestra página web (hora peninsular española). El precio de salida es el que se indica en la ficha del inmueble. Servihabitat escogerá la puja más alta para la venta del inmueble. Se deja expresa constancia que se deberá realizar un depósito previo de 1500 o 3000¿ en función del precio de salida. Dicho depósito será devuelto automáticamente sin coste alguno en caso de no ser el pujador elegido.",good,1564.0,False,0,Valencina de la Concepcion / Valencina de la Concepcion,1512.6666666666667,21,7,1
103287707,80000.0,flat,69.0,3,1,37.4101134,-5.9862934,"Piso distribuido en salón-comedor, cocina, 3 habitaciones y 1 baño. Dispone también de terraza. Ubicado en una zona con todo tipo de servicios, comunicado con el centro mediante transporte público y próximo a la Avenida Sánchez Pizjuán. Infórmate. Del 25/11/2023 al 09/12/2023 este es un producto incluido en ""WOW! Ventas especiales"". El precio indicado es precio de salida. Descúbrelo e infórmate en\nInmueble en comercialización mediante el sistema de subasta al mejor postor. Estos inmuebles admiten pujas hasta la finalización del plazo indicado al efecto en cada una de las fichas de los inmuebles publicados en nuestra página web (hora peninsular española). El precio de salida es el que se indica en la ficha del inmueble. Servihabitat escogerá la puja más alta para la venta del inmueble. Se deja expresa constancia que se deberá realizar un depósito previo de 1500 o 3000¿ en función del precio de salida. Dicho depósito será devuelto automáticamente sin coste alguno en caso de no ser el pujador elegido.",renew,1159.0,False,0,Sevilla / Macarena,1721.5813953488373,57,2,0
95460160,259000.0,flat,133.0,3,2,37.3389939,-5.9846151,"¡ULTIMAS UNIDADES EN VENTA! La promoción esta configurada por 46 viviendas. PALMAS ALTAS-ISLA NATURA. Disfruta de una nueva forma de vivir en Sevilla. Perfectas y rápidas comunicaciones.  Se desarrolla en dos bloques de viviendas plurifamiliares y locales comerciales, diferenciados por una zona común de tránsito, constando dichos bloques de planta Baja mas 5 plantas en altura hasta llegar a los áticos, y siendo su tipología desarrollada en 7 viviendas de 1 dormitorio, 17 de 2 dormitorios, 16 de 3 dormitorios y finalmente 6 de 4 dormitorios, todas ellas con amplias terrazas. La promoción se completa con planta sótano de 67 plazas de garaje, y seis locales comerciales en planta baja, la piscina comunitaria se encuentra ubicada en primera planta con fáciles accesos y amplios espacios.  Promoción en Fase de construcción. Es tu vida, elige donde vivirla. Las viviendas se venden de manera conjunta con una plaza de garaje y un trastero con precios desde 12.500 € y 3.500 € respectivamente.",newdevelopment,1947.0,False,0,Sevilla / La Palmera - Los Bermejales,2705.1481481481483,62,5,1
