,propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,labels,highlight,superTopHighlight,topNewDevelopment,topPlus,floor,exterior,neighborhood,hasLift,newDevelopmentFinished
0,101359217,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/02/6c/f1/1121620094.jpg,MP185848,44,1195000.0,chalet,sale,513.0,7,4,"Avenida Mimosas urb. CLUB DE GOLF ZAUDÍN, Bormujos",Sevilla,Bormujos,El Zaudín - Club de Golf,es,37.3655115,-6.0623224,False,https://www.idealista.com/inmueble/101359217/,7453,"NO COBRAMOS COMISIÓN AL COMPRADOR  ESPECIALISTAS EN COLABORACIONES INTERNACIONALES GILMAR le ofrece en EXCLUSIVA, una excepcional vivienda con piscina en la prestigiosa urbanización Club de Golf Zaudín, en Bormujos, una magnífica ubicación, en la que podrá disfrutar de todos los servicios y seguridad 24h. La vivienda consta de 513 m2 construidos, en una parcela de 505 m2 repartidos en 3 plantas y un gran sótano excepcional con capacidad para 6 vehículos.  La actual distribución de la vivienda es la que describimos, siendo posible aumentar el número de habitaciones de las 2 actuales a 7 según se desee. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir.. . Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontraras 4.000 oportunidades más.",True,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2329.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'El Zaudín - Club de Golf, Bormujos', 'title': 'Casa independiente en Avenida Mimosas urb. Club De Golf Zaudín, Bormujos'}",True,True,False,False,"[{'name': 'villaType', 'text': 'Villa'}]",{'groupDescription': 'Destacado'},False,False,False,,,,,
1,100858100,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/1f/a0/1101285212.jpg,RP982023111646,85,350000.0,flat,sale,94.0,3,2,Calle Madre Ràfols,Sevilla,Sevilla,Los Remedios,es,37.3745071,-6.0003523,False,https://www.idealista.com/inmueble/100858100/,2064,"CARACTERÍSTICAS DEL INMUEBLE: Vivienda de 94 m² construidos RECIEN REFORMADA con las MEJORES calidades (si el cliente lo requiere, se puede aportar dosier completo de toda la reforma que han realizado en el mismo); Suelos de parquet, puertas de madera lacadas en blanco, ventanas climalit oscilobatientes de última generación y amplios armarios empotrados revestidos. Además, cuenta con 5 Splits de Aire Acondicionado (en todas las estancias). Vivienda situada en la calle Madre Ráfols. 2ª planta con ascensor.  El inmueble se distribuye de la siguiente manera; recibidor, 3 dormitorios amplios [uno de ellos con balcón], 2 baños completos [ambos con placa de ducha y uno de ellos en suite], cocina totalmente equipada con electrodomésticos nuevos de alta gama, y salón/comedor. La vivienda se entrega amueblada con muebles de diseño.  Si estás buscando un hogar acogedor, bien ubicado y luminoso, así como despreocuparte de reformar y amueblar tu nueva vivienda. No dudes en llamarnos, este es el inmueble que estás buscando.  UBICACIÓN: Disponible en el entorno todo tipo de servicios. A unos minutos a pie de las paradas de metro de Plaza de cuba, Parque de los Príncipes y Blas infante, y ubicado junto a varias líneas de autobuses, tales como: 06, 41, C2, A7 y C1. Los accesos viales más cercanos son: se-30, e-803 y a-49. OTROS: El precio de la vivienda NO comprende los gastos de compraventa, ni los honorarios de intermediación inmobiliaria, que satisface el comprador y ascienden al 3% más IVA sobre el precio final de venta, (con un mínimo de 4.840€ IVA incluido). D. I. A (Documento Informativo Abreviado) a disposición del consumidor. Para visita virtual 360, visítenos en nuestra web WWW. REDPISO. ES.  Si busca un inmueble de características similares, puede pasar por nuestra oficina en c/Asunción nº11 o llamarnos al Visítenos sin compromiso. Gracias. Inmobiliaria Redpiso. Tu hogar, es nuestro compromiso.",True,good,False,,3723.0,{'typology': 'flat'},"{'subtitle': 'Ramón de Carranza - Madre Rafols, Sevilla', 'title': 'Piso en Calle Madre Ràfols'}",True,False,False,False,,{'groupDescription': 'Destacado'},False,False,False,2,True,Ramón de Carranza - Madre Rafols,True,
2,103288001,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cd/38/aa/1184579897.jpg,px04475,25,180000.0,flat,sale,69.0,3,1,barrio Bami - Pineda,Sevilla,Sevilla,La Palmera - Los Bermejales,es,37.3539107,-5.9740552,False,https://www.idealista.com/inmueble/103288001/,3636,"Proxxima Inmobiliaria presenta este encantador piso en venta, totalmente reformado y en perfecto estado para entrar vivir con 3 habitaciones. El cuarto de baño cuenta con una moderna placa de ducha, y la cocina está completamente amueblada, incluyendo un lavadero para mayor comodidad. El luminoso salón ofrece hermosas vistas, destacando la iluminación en todas las habitaciones, especialmente en el salón. Además, el piso incluye una plaza de garaje en el parking en superficie y un trastero en la planta cero. "" Se encuentra ubicado en una zona tranquila muy bien conectada con el resto de la ciudad por transporte público y en los alrededores podemos encontrar toda clase de servicios necesarios. Buena conexión a la SE -30.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2609.0,{'typology': 'flat'},"{'subtitle': 'Bami - Pineda, Sevilla', 'title': 'Piso'}",False,False,False,False,,,False,False,False,3,True,Bami - Pineda,True,
3,103287990,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/93/fe/a0/1184581373.jpg,,23,119990.0,flat,sale,110.0,3,1,Barriada Aleros de Sevilla,Sevilla,Mairena del Aljarafe,Simon Verde,es,37.3528863,-6.0375414,False,https://www.idealista.com/inmueble/103287990/,6135,"Piso en Barriada Alero de Sevilla de 110 m2, 3 dormitorios, baño, amplio salón con terraza, parque infantil, zonas comunes y plaza de garaje.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1091.0,{'typology': 'flat'},"{'subtitle': 'Simon Verde, Mairena del Aljarafe', 'title': 'Piso en Barriada Aleros de Sevilla'}",False,False,False,False,,,False,False,False,1,True,,False,
4,103281276,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0b/50/2d/1184347315.jpg,,24,440000.0,flat,sale,139.0,5,2,Calle Grupo Oscar Carvallo,Sevilla,Sevilla,Nervión,es,37.384633,-5.9789757,False,https://www.idealista.com/inmueble/103281276/,307,"Quieres vivir cerca del centro de Sevilla o simplemente en un lugar ideal de la ciudad de Sevilla? AlmanRod gestión inmobiliaria les presenta este amplio y luminoso piso ubicado en Nervión -Buhaira.  Te mostramos una posible idea de reforma. Esto te ayudará a imaginarte tu hogar ya reformado.  Un inmueble ideal para los que buscan un hogar cerca de la ciudad.  El inmueble se encuentra en un portal muy cuidado, lo que causa una buena primera impresión.   Esta vivienda cuenta con una superficie de 139m2 distribuidos en cinco amplios dormitorios, un amplio y acogedor salón comedor, dos cuarto de baños y uno de ellos con bañera, la vivienda cuenta con un amplio recibidor y gran cocina.  Destacar de esta vivienda su ubicación, ya que se encuentra en un lugar ideal.  La vivienda tiene servicios de primera necesidad muy cercanos, tales como: Centro comercial, Colegios, farmacias, supermercados, parada de autobús y parada de metro a 3 minutos de la vivienda.  Para más información, llámanos y ven a visitarla!    Informamos a nuestros clientes que no están incluidos en el precio los honorarios de intermediación. Ni gastos derivados de la compra venta de este inmueble tales como: El Impuesto de Transmisiones Patrimoniales, registros, notaría, gestoría y de posible financiación.",False,renew,False,,3165.0,{'typology': 'flat'},"{'subtitle': 'Buhaira - Huerta del Rey, Sevilla', 'title': 'Piso en Calle Grupo Oscar Carvallo'}",True,False,False,False,,,False,False,False,3,True,Buhaira - Huerta del Rey,True,
5,103287847,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/73/16/1184576730.jpg,,14,445000.0,chalet,sale,177.0,3,2,Calle Retama,Sevilla,Montequinto,Olivar de Quintos,es,37.3263432,-5.9207388,False,https://www.idealista.com/inmueble/103287847/,8562,"N O V E D A D  A la venta este fantástico chalet de 1 planta situado en una de las zonas más tranquilas e íntimas de Montequinto. La vivienda está reformada completamente, es muy luminosa y cuenta con hall recibidor, cocina abierta al salón, 3 dormitorios y 2 baños completos. Cuenta también con garaje y trastero, además de una bonita piscina en forma de L. (faltan más fotos, las cuales pondremos en estos días). Si lo que buscas es paz y independencia, esta es la vivienda que necesitas. No dudes en venir a visitarla ¡TE VA A GUSTAR! *Honorarios y gastos de intermediación NO INCLUIDOS EN EL PRECIO*.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",2514.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Olivar de Quintos, Montequinto', 'title': 'Casa independiente en Calle Retama'}",False,False,False,False,,,False,False,False,,,,,
6,103287778,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/3b/27/1184575964.jpg,12575,1,105613.0,chalet,sale,124.0,3,2,Calle Virgen de las Aguas,Sevilla,Sevilla,Torreblanca,es,37.3833245,-5.9146504,False,https://www.idealista.com/inmueble/103287778/,5957,"Oportunidad Única de Inversión - Activo Inmobiliario Sin Explotar  REFERENCIA: 12575 [Auctree. com/auction/12575]  Embárquese en un viaje de inversión sin precedentes con Auctree, la plataforma líder en España para inversores inmobiliarios. Hoy, destacamos un singular activo inmobiliario involucrado en un proceso judicial, y el potencial latente dentro de esta oportunidad es inmenso. Como inversor, se le otorga acceso exclusivo a un ámbito previamente reservado para grandes fondos de inversión y oficinas familiares, permitiéndole explorar una clase de activos rebosante de oportunidades robustas y retornos significativos. Los servicios integrales de Auctree facilitan una experiencia de adquisición sin problemas, desde la participación en negociaciones con todas las partes hasta asegurar el registro exitoso de la propiedad en el Registro de la Propiedad. Ideal para inversores con visión de futuro sintonizados con los plazos del proceso judicial, esta inversión ofrece retornos a largo plazo sustanciales y un valor único. Con Auctree, dé un paso más allá de las fronteras tradicionales de la inversión inmobiliaria y transformemos su cartera de inversiones hoy.",False,good,False,,852.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Torreblanca, Sevilla', 'title': 'Casa independiente en Calle Virgen de las Aguas'}",False,False,False,False,,,False,False,False,,,Torreblanca,,
7,97781495,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/d8/e2/990199812.jpg,Juan Antonio_01,32,260000.0,chalet,sale,200.0,4,3,Avenida Alonso Quijano,Sevilla,Dos Hermanas,El Arenal - La Pólvora,es,37.2889739,-5.9405578,False,https://www.idealista.com/inmueble/97781495/,11393,"! OPORTUNIDAD! Preguntar por Juan Antonio. Fantástico Chalet Pareado en el Residencial del Marquesado en Dos Hermanas. La vivienda esta situada en urbanización privada y excelente vecindario en una de las mejores zonas de Dos hermanas, tiene ubicación privilegiada con salida rápida Sevilla-Cadiz o SE-40, colegios, bancos, centros comerciales, farmacia, zonas deportivas, parques, cafeterías, restaurantes y zona infantiles. El inmueble cuenta con plaza aparcamiento dentro de la zona residencial, gran patio delantero, el trasero con lavadero y trastero. Cocina equipada con electrodomésticos e instalación de gas natural, habitación en planta baja conectada al patio trasero, extenso salón comedor luminoso y cuarto de baño completo, aires acondicionados centralizado tanto en la planta baja y alta con mucha luz natural ubicación sureste. La primera planta cuenta con tres habitaciones y dos baños uno de ellos en habitación de matrimonio tipo suite con balcón y armarios empotrados, aires acondicionados centralizados en planta baja y alta. Ademas encontramos un castillete en ultima planta con habitación y azotea transitable de unos treinta metros cuadrados. Disponemos de servicio financiero, para ofrecerle asesoramiento gratuito y sin compromiso. Solicite información sin compromiso estaremos encantados de atenderles. En el precio no están incluidos impuestos y honorarios.",False,good,False,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",1300.0,"{'typology': 'chalet', 'subTypology': 'semidetachedHouse'}","{'subtitle': 'El Arenal - La Pólvora, Dos Hermanas', 'title': 'Chalet pareado en Avenida Alonso Quijano'}",False,False,False,False,,{'groupDescription': 'Destacado'},False,False,False,,,,,
8,103287712,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/32/c9/1184573275.jpg,60479477,13,280000.0,chalet,sale,179.0,4,4,"Calle Granada, 12",Sevilla,Valencina de la Concepcion,,es,37.4117604,-6.0774967,True,https://www.idealista.com/inmueble/103287712/,8908,"Casa unifamiliar distribuida en 3 plantas que dispone de 4 dormitorios, 1 estudio, 3 baños y 1 aseo. Cuenta con jardín y piscina, y 2 trasteros. Situada en zona céntrica, cerca de servicios y comercios. Infórmate hoy mismo. Del 25/11/2023 al 09/12/2023 este es un producto incluido en ""WOW! Ventas especiales"". El precio indicado es precio de salida. Descúbrelo e infórmate en\nInmueble en comercialización mediante el sistema de subasta al mejor postor. Estos inmuebles admiten pujas hasta la finalización del plazo indicado al efecto en cada una de las fichas de los inmuebles publicados en nuestra página web (hora peninsular española). El precio de salida es el que se indica en la ficha del inmueble. Servihabitat escogerá la puja más alta para la venta del inmueble. Se deja expresa constancia que se deberá realizar un depósito previo de 1500 o 3000¿ en función del precio de salida. Dicho depósito será devuelto automáticamente sin coste alguno en caso de no ser el pujador elegido.",False,good,False,,1564.0,{'typology': 'chalet'},"{'subtitle': 'Valencina de la Concepcion', 'title': 'Chalet en Calle Granada, 12'}",False,False,False,False,,,False,False,False,,,,,
9,103287707,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/74/a8/a8/1184573085.jpg,60507476,2,80000.0,flat,sale,69.0,3,1,"Calle Ópalo, 5",Sevilla,Sevilla,Macarena,es,37.4101134,-5.9862934,True,https://www.idealista.com/inmueble/103287707/,2707,"Piso distribuido en salón-comedor, cocina, 3 habitaciones y 1 baño. Dispone también de terraza. Ubicado en una zona con todo tipo de servicios, comunicado con el centro mediante transporte público y próximo a la Avenida Sánchez Pizjuán. Infórmate. Del 25/11/2023 al 09/12/2023 este es un producto incluido en ""WOW! Ventas especiales"". El precio indicado es precio de salida. Descúbrelo e infórmate en\nInmueble en comercialización mediante el sistema de subasta al mejor postor. Estos inmuebles admiten pujas hasta la finalización del plazo indicado al efecto en cada una de las fichas de los inmuebles publicados en nuestra página web (hora peninsular española). El precio de salida es el que se indica en la ficha del inmueble. Servihabitat escogerá la puja más alta para la venta del inmueble. Se deja expresa constancia que se deberá realizar un depósito previo de 1500 o 3000¿ en función del precio de salida. Dicho depósito será devuelto automáticamente sin coste alguno en caso de no ser el pujador elegido.",False,renew,False,,1159.0,{'typology': 'flat'},"{'subtitle': 'Doctor Fedriani, Sevilla', 'title': 'Piso en Calle Ópalo, 5'}",False,False,False,False,,,False,False,False,3,True,Doctor Fedriani,False,
