size,codigo_distrito,parking,codigo_tipo,piscina,total_rooms,price
110.0,51,0,2,0,5,170000.0
115.0,29,0,2,1,5,218000.0
135.0,11,0,7,0,5,161000.0
90.0,8,0,2,1,4,87500.0
85.0,69,0,2,0,4,225000.0
156.0,6,0,3,0,5,170620.0
90.0,30,0,2,0,4,60000.0
75.0,51,0,2,0,5,99900.0
276.0,6,0,7,0,15,205000.0
70.0,57,0,2,0,4,155000.0
344.0,65,1,5,0,11,580000.0
115.0,57,0,2,0,6,275000.0
189.0,66,0,3,0,8,585000.0
150.0,66,1,2,0,7,500000.0
97.0,28,0,2,1,4,195000.0
475.0,69,0,5,1,9,1000000.0
70.0,38,0,2,0,4,90000.0
57.0,61,0,2,0,4,69999.0
46.0,38,0,2,0,3,39900.0
80.0,40,1,2,0,5,139900.0
240.0,60,1,3,0,6,389000.0
150.0,14,0,3,0,5,187000.0
82.0,51,0,2,0,4,109900.0
75.0,69,0,2,1,2,290000.0
100.0,30,1,2,1,5,139000.0
81.0,38,0,2,0,4,107260.0
115.0,8,0,7,0,5,200000.0
120.0,66,0,2,0,7,329000.0
320.0,6,0,7,0,9,199000.0
105.0,62,1,2,1,5,350000.0
124.0,6,0,4,0,4,125000.0
113.0,70,1,2,0,4,720000.0
84.0,6,1,2,0,5,83000.0
125.0,54,0,2,0,5,124500.0
123.0,26,1,3,0,5,190000.0
137.0,18,0,7,0,5,250000.0
184.0,31,0,3,1,8,225000.0
123.0,69,0,2,1,5,426317.0
100.0,55,1,2,0,5,143000.0
113.0,38,0,2,0,6,95000.0
93.0,70,0,2,0,4,210000.0
89.0,47,1,2,1,5,175100.0
79.0,40,0,2,0,4,126000.0
54.0,57,0,2,0,3,88000.0
89.0,47,1,2,1,4,191200.0
84.0,6,1,2,0,5,125000.0
80.0,66,0,5,0,3,290000.0
75.0,69,0,2,0,4,499000.0
125.0,38,0,7,0,5,89000.0
124.0,36,0,7,0,4,85000.0
65.0,57,0,2,0,4,81000.0
55.0,38,0,2,0,4,30361.0
100.0,47,1,2,1,5,350000.0
116.0,5,0,7,1,2,157999.0
168.0,70,0,2,0,7,400000.0
104.0,53,1,2,1,5,230000.0
67.0,27,0,2,0,2,66100.0
111.0,47,1,2,1,5,208000.0
605.0,7,1,7,1,12,1500000.0
146.0,18,1,6,0,6,310000.0
119.0,6,0,2,0,6,162990.0
106.0,55,1,5,1,5,189000.0
192.0,14,1,5,0,6,298800.0
154.0,50,1,2,1,5,205000.0
130.0,70,1,2,0,5,340000.0
143.0,55,1,6,1,6,365000.0
125.0,70,0,2,0,6,295000.0
128.0,70,0,2,0,6,260000.0
138.0,6,0,4,0,6,159800.0
164.0,34,0,7,0,4,160000.0
80.0,40,1,2,0,5,139900.0
64.0,57,0,2,0,3,98000.0
113.0,6,0,2,0,4,151000.0
116.0,54,1,3,1,6,264999.0
56.0,22,0,2,0,3,52500.0
114.0,22,0,2,0,4,129990.0
62.0,6,0,7,0,3,60000.0
111.0,14,1,5,0,4,230000.0
74.0,48,0,2,0,4,159000.0
144.0,38,0,3,0,5,95000.0
92.0,9,0,7,0,3,145000.0
224.0,60,1,2,0,7,670000.0
103.0,20,0,2,0,5,124900.0
190.0,65,1,5,1,6,855000.0
197.0,60,0,2,0,6,425000.0
70.0,25,1,2,0,2,154500.0
120.0,70,1,2,0,6,428500.0
65.0,55,1,2,1,2,172900.0
86.0,40,0,2,0,4,122990.0
298.0,69,1,5,1,9,1400000.0
102.0,36,0,3,0,5,159900.0
98.0,70,0,2,0,4,230000.0
155.0,31,1,7,0,6,300000.0
181.0,18,0,3,0,7,210000.0
99.0,47,1,2,0,5,211100.0
150.0,30,1,7,0,5,165000.0
64.0,57,0,2,0,3,120000.0
95.0,28,1,2,0,5,98500.0
400.0,17,1,7,1,9,595000.0
173.0,6,1,7,0,5,99000.0
346.0,69,1,2,0,6,840000.0
92.0,36,1,2,0,2,106900.0
125.0,60,1,2,0,4,290000.0
78.0,27,0,2,0,4,80000.0
91.0,50,1,2,1,3,176000.0
132.0,44,0,7,0,4,226000.0
50.0,70,0,5,0,2,103130.0
195.0,5,0,5,1,8,294000.0
184.0,9,1,7,1,7,299000.0
155.0,61,0,2,0,7,235000.0
95.0,6,0,2,0,6,123000.0
121.0,6,0,2,0,6,81000.0
206.0,65,1,4,1,7,890000.0
75.0,55,1,2,0,5,169990.0
226.0,6,0,7,0,6,183100.0
200.0,6,0,3,0,7,157500.0
146.0,30,0,2,0,6,163000.0
149.0,55,1,2,1,7,323000.0
106.0,36,1,2,0,6,135000.0
60.0,56,0,2,0,2,115000.0
210.0,38,1,6,0,8,260000.0
80.0,57,0,2,0,5,138000.0
67.0,55,1,2,0,3,159990.0
102.0,6,0,2,0,5,154999.0
280.0,21,0,7,0,6,199000.0
117.0,19,1,2,1,5,299999.0
95.0,24,0,2,0,4,120000.0
80.0,66,0,2,0,4,210000.0
263.0,6,0,7,0,8,294000.0
98.0,5,0,7,1,2,59000.0
74.0,28,0,2,0,4,115000.0
115.0,70,0,7,0,5,350000.0
65.0,5,1,7,1,3,160000.0
173.0,64,0,7,1,8,259900.0
336.0,5,0,7,1,6,199999.0
200.0,69,0,2,0,7,600000.0
287.0,5,0,7,1,7,359900.0
78.0,69,0,2,0,4,268500.0
88.0,65,1,2,0,4,188000.0
70.0,14,1,5,0,4,188000.0
164.0,8,0,7,0,8,160000.0
79.0,20,0,2,0,2,98900.0
155.0,70,1,2,0,6,549000.0
198.0,6,1,3,0,5,160000.0
127.0,26,1,3,0,5,131900.0
55.0,6,0,3,0,2,75000.0
80.0,6,1,2,0,5,82000.0
81.0,39,0,2,0,4,115000.0
202.0,21,1,6,1,7,330000.0
81.0,38,1,5,1,5,188039.0
70.0,66,0,2,0,4,220000.0
116.0,6,1,2,1,5,152000.0
